,Job_titles
662,Food and Beverage Serving Workers
664,Bartenders
666,"Combined Food Preparation and Serving Workers, Including Fast Food"
668,Waiters and Waitresses
670,"Food Servers, Nonrestaurant"
672,Other Food Preparation and Serving Related Workers
674,Dining Room and Cafeteria Attendants and Bartender Helpers
676,Dishwashers
678,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
680,"Food Preparation and Serving Related Workers, All Other"
682,Supervisors of Building and Grounds Cleaning and Maintenance Workers
684,First-Line Supervisors of Housekeeping and Janitorial Workers
686,Building Cleaning and Pest Control Workers
688,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
690,"Building Cleaning Workers, All Other"
692,Pest Control Workers
694,Grounds Maintenance Workers
696,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
698,"Grounds Maintenance Workers, All Other"
700,Supervisors of Personal Care and Service Workers
702,First-Line Supervisors of Gaming Workers
704,First-Line Supervisors of Personal Service Workers
706,Animal Trainers
708,Nonfarm Animal Caretakers
710,Entertainment Attendants and Related Workers
712,Gaming Dealers
714,"Gaming Service Workers, All Other"
716,Motion Picture Projectionists
718,"Ushers, Lobby Attendants, and Ticket Takers"
720,Amusement and Recreation Attendants
722,"Locker Room, Coatroom, and Dressing Room Attendants"
724,Funeral Service Workers
726,Embalmers
728,Funeral Attendants
730,"Morticians, Undertakers, and Funeral Directors"
732,"Barbers, Hairdressers, Hairstylists and Cosmetologists"
734,"Hairdressers, Hairstylists, and Cosmetologists"
736,"Makeup Artists, Theatrical and Performance"
738,Shampooers
740,"Baggage Porters, Bellhops, and Concierges"
742,Baggage Porters and Bellhops
744,Tour and Travel Guides
746,Tour and Travel Guides
748,Childcare Workers
750,Personal Care Aides
752,Recreation and Fitness Workers
754,Recreation Workers
756,Residential Advisors
758,"Personal Care and Service Workers, All Other"
760,Supervisors of Sales Workers
762,First-Line Supervisors of Retail Sales Workers
764,Retail Sales Workers
766,Cashiers
768,Counter and Rental Clerks and Parts Salespersons
770,Parts Salespersons
772,Retail Salespersons
774,Advertising Sales Agents
776,Insurance Sales Agents
778,"Securities, Commodities, and Financial Services Sales Agents"
780,Travel Agents
782,"Miscellaneous Sales Representatives, Services"
784,"Sales Representatives, Wholesale and Manufacturing"
786,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
788,Other Sales and Related Workers
790,Demonstrators and Product Promoters
792,Real Estate Brokers and Sales Agents
794,Real Estate Sales Agents
796,Sales Engineers
798,Telemarketers
800,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
802,Office and Administrative Support Occupations
804,First-Line Supervisors of Office and Administrative Support Workers
806,Communications Equipment Operators
808,"Switchboard Operators, Including Answering Service"
810,Telephone Operators
812,"Communications Equipment Operators, All Other"
814,Bill and Account Collectors
816,Billing and Posting Clerks
818,"Bookkeeping, Accounting, and Auditing Clerks"
820,Gaming Cage Workers
822,Payroll and Timekeeping Clerks
824,Procurement Clerks
826,Tellers
828,Miscellaneous Financial Clerks
830,Information and Record Clerks
832,Brokerage Clerks
834,Correspondence Clerks
836,"Court, Municipal, and License Clerks"
838,"Credit Authorizers, Checkers, and Clerks"
840,Customer Service Representatives
842,"Eligibility Interviewers, Government Programs"
844,File Clerks
846,"Hotel, Motel, and Resort Desk Clerks"
848,"Interviewers, Except Eligibility and Loan"
850,"Library Assistants, Clerical"
852,Loan Interviewers and Clerks
854,New Accounts Clerks
856,Order Clerks
858,"Human Resources Assistants, Except Payroll and Timekeeping"
860,Receptionists and Information Clerks
862,Reservation and Transportation Ticket Agents and Travel Clerks
864,"Information and Record Clerks, All Other"
866,Cargo and Freight Agents
868,Couriers and Messengers
870,Dispatchers
872,"Dispatchers, Except Police, Fire, and Ambulance"
874,"Meter Readers, Utilities"
876,Postal Service Clerks
878,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
880,"Production, Planning, and Expediting Clerks"
882,"Shipping, Receiving, and Traffic Clerks"
884,Stock Clerks and Order Fillers
886,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
888,Secretaries and Administrative Assistants
890,Legal Secretaries
892,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
894,Computer Operators
896,Data Entry and Information Processing Workers
898,Word Processors and Typists
900,Desktop Publishers
902,Insurance Claims and Policy Processing Clerks
904,"Mail Clerks and Mail Machine Operators, Except Postal Service"
906,"Office Clerks, General"
908,"Office Machine Operators, Except Computer"
910,Proofreaders and Copy Markers
912,Statistical Assistants
914,"Office and Administrative Support Workers, All Other"
916,"Supervisors of Farming, Fishing, and Forestry Workers"
918,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
920,Agricultural Inspectors
922,Animal Breeders
924,"Graders and Sorters, Agricultural Products"
926,Miscellaneous Agricultural Workers
928,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
930,"Agricultural Workers, All Other"
932,Fishers and Related Fishing Workers
934,"Forest, Conservation, and Logging Workers"
936,Forest and Conservation Workers
938,Fallers
940,Log Graders and Scalers
942,Construction and Extraction Occupations
944,First-Line Supervisors of Construction Trades and Extraction Workers
946,Construction Trades Workers
948,Boilermakers
950,Brickmasons and Blockmasons
952,Carpenters
954,"Carpet, Floor, and Tile Installers and Finishers"
956,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
958,Tile and Marble Setters
960,Cement Masons and Concrete Finishers
962,Construction Laborers
964,Construction Equipment Operators
966,Pile-Driver Operators
968,"Drywall Installers, Ceiling Tile Installers, and Tapers"
970,Tapers
972,Electricians
974,Glaziers
976,"Insulation Workers, Floor, Ceiling, and Wall"
978,Painters and Paperhangers
980,Paperhangers
982,Pipelayers
984,Plasterers and Stucco Masons
986,Reinforcing Iron and Rebar Workers
988,Roofers
990,Sheet Metal Workers
992,Structural Iron and Steel Workers
994,Solar Photovoltaic Installers
996,"Helpers, Construction Trades"
